Timestamp: 2016.05.06.10.08.16 Training stats(EspLC):
P=0.6426 R=0.6252 F=0.6338
P=0.6428 R=0.6259 F=0.6342
P=0.6524 R=0.6332 F=0.6427
P=0.6515 R=0.6364 F=0.6439
P=0.6570 R=0.6409 F=0.6489
P=0.6546 R=0.6404 F=0.6474
P=0.6576 R=0.6435 F=0.6505
P=0.6606 R=0.6466 F=0.6535
P=0.6532 R=0.6418 F=0.6474
P=0.6579 R=0.6443 F=0.6511
P=0.6558 R=0.6399 F=0.6478
P=0.6564 R=0.6401 F=0.6482
P=0.6577 R=0.6411 F=0.6493
P=0.6585 R=0.6408 F=0.6495
P=0.6594 R=0.6434 F=0.6513
P=0.6600 R=0.6450 F=0.6524
P=0.6604 R=0.6453 F=0.6528
P=0.6589 R=0.6437 F=0.6512
P=0.6659 R=0.6507 F=0.6582
P=0.6674 R=0.6533 F=0.6603
P=0.6651 R=0.6535 F=0.6592
P=0.6418 R=0.6108 F=0.6259
*
*
Timestamp: 2016.05.06.17.51.55 Training stats(NedRandom):
P=0.3268 R=0.1885 F=0.2391
P=0.2875 R=0.1818 F=0.2227
P=0.3244 R=0.2269 F=0.2670
P=0.4727 R=0.3826 F=0.4229
P=0.4702 R=0.3944 F=0.4290
P=0.4816 R=0.4021 F=0.4383
P=0.4797 R=0.4042 F=0.4388
P=0.4833 R=0.4164 F=0.4473
P=0.4764 R=0.4127 F=0.4423
P=0.4843 R=0.4193 F=0.4495
P=0.4844 R=0.4225 F=0.4513
P=0.4914 R=0.4296 F=0.4585
P=0.4956 R=0.4384 F=0.4652
P=0.5025 R=0.4476 F=0.4734
P=0.5205 R=0.4616 F=0.4893
P=0.5283 R=0.4749 F=0.5002
P=0.5348 R=0.4833 F=0.5077
P=0.5364 R=0.4853 F=0.5096
P=0.5408 R=0.4902 F=0.5142
P=0.5449 R=0.4922 F=0.5172
P=0.5493 R=0.4959 F=0.5212
P=0.5986 R=0.5434 F=0.5697
P=0.6028 R=0.5502 F=0.5753
P=0.6058 R=0.5521 F=0.5777
P=0.6190 R=0.5688 F=0.5928
P=0.6154 R=0.5673 F=0.5904
P=0.6204 R=0.5696 F=0.5939
P=0.6304 R=0.5809 F=0.6046
P=0.6294 R=0.5803 F=0.6039
P=0.6310 R=0.5825 F=0.6058
P=0.6314 R=0.5836 F=0.6066
P=0.6332 R=0.5841 F=0.6076
P=0.8950 R=0.8900 F=0.8925
*
*
Timestamp: 2016.05.06.18.35.36 Training stats(TwitterRandom):
P=0.5000 R=0.0026 F=0.0052
P=0.2857 R=0.0026 F=0.0052
P=0.2500 R=0.0026 F=0.0052
P=0.4545 R=0.0065 F=0.0129
P=0.4545 R=0.0065 F=0.0129
P=0.6267 R=0.0615 F=0.1120
P=0.6092 R=0.0694 F=0.1246
P=0.6000 R=0.0825 F=0.1450
P=0.5812 R=0.0890 F=0.1544
P=0.5535 R=0.1152 F=0.1907
P=0.5556 R=0.1113 F=0.1854
P=0.5195 R=0.1047 F=0.1743
P=0.5167 R=0.1217 F=0.1970
P=0.5026 R=0.1243 F=0.1994
P=0.5000 R=0.1296 F=0.2058
P=0.5506 R=0.1283 F=0.2081
P=0.5824 R=0.1296 F=0.2120
P=0.5771 R=0.1322 F=0.2151
P=0.5707 R=0.1479 F=0.2349
P=0.5550 R=0.1453 F=0.2303
P=0.5758 R=0.1492 F=0.2370
P=0.5673 R=0.1545 F=0.2428
P=0.5673 R=0.1545 F=0.2428
P=0.5535 R=0.1558 F=0.2431
P=0.5874 R=0.1715 F=0.2655
P=0.5815 R=0.1728 F=0.2664
P=0.5822 R=0.1715 F=0.2649
P=0.5752 R=0.1702 F=0.2626
P=0.5957 R=0.1793 F=0.2757
P=0.6076 R=0.1885 F=0.2877
P=0.6116 R=0.1937 F=0.2942
P=0.6017 R=0.1898 F=0.2886
P=0.6087 R=0.1832 F=0.2817
P=0.6190 R=0.1872 F=0.2874
P=0.6410 R=0.1963 F=0.3006
P=0.6402 R=0.2003 F=0.3051
P=0.6160 R=0.2016 F=0.3037
P=0.6124 R=0.2068 F=0.3092
P=0.5954 R=0.2042 F=0.3041
P=0.5731 R=0.1950 F=0.2910
P=0.5686 R=0.1898 F=0.2846
P=0.6024 R=0.2003 F=0.3006
P=0.6225 R=0.2029 F=0.3060
P=0.5992 R=0.2055 F=0.3060
P=0.6023 R=0.2081 F=0.3093
P=0.6038 R=0.2094 F=0.3110
P=0.6015 R=0.2055 F=0.3063
P=0.6031 R=0.2068 F=0.3080
P=0.5962 R=0.2068 F=0.3071
P=0.6105 R=0.2134 F=0.3162
*
*P=0.8096 R=0.7591 F=0.7836
P=0.8096 R=0.7591 F=0.7836
*
*
Timestamp: 2016.05.09.07.40.29 Training stats:
P=0.8105 R=0.7965 F=0.8034
P=0.8329 R=0.8273 F=0.8301
P=0.8343 R=0.8343 F=0.8343
P=0.8433 R=0.8448 F=0.8440
P=0.8474 R=0.8515 F=0.8494
P=0.8554 R=0.8576 F=0.8565
P=0.8608 R=0.8627 F=0.8617
P=0.8655 R=0.8679 F=0.8667
